"Track_ID","Standard_ID","Standard_Time"
"31","29","212.00"
"31","30","218.00"
"31","31","224.00"
"31","32","230.00"
"31","33","999.99"
"32","-4","36.00"
"32","-3","36.17"
"32","-2","36.35"
"32","-1","36.52"
"32","0","36.70"
"32","1","36.90"
"32","2","37.10"
"32","3","37.30"
"32","4","37.50"
"32","5","37.87"
"32","6","38.25"
"32","7","38.62"
"32","8","39.00"
"32","9","39.37"
"32","10","39.75"
"32","11","40.12"
"32","12","40.50"
"32","13","41.12"
"32","14","41.75"
"32","15","42.37"
"32","16","43.00"
"32","17","44.75"
"32","18","46.50"
"32","19","48.25"
"32","20","50.00"
"32","21","51.25"
"32","22","52.50"
"32","23","53.75"
"32","24","55.00"
"32","25","58.00"
"32","26","61.00"
"32","27","64.00"
"32","28","67.00"
"32","29","69.00"
"32","30","71.00"
"32","31","73.00"
"32","32","75.00"
"32","33","999.99"
"33","-4","88.50"
"33","-3","88.62"
"33","-2","88.75"
"33","-1","88.87"
"33","0","89.00"
"33","1","89.25"
"33","2","89.50"
"33","3","89.75"
"33","4","90.00"
"33","5","90.50"
"33","6","91.00"
"33","7","91.50"
"33","8","92.00"
"33","9","92.75"
"33","10","93.50"
"33","11","94.25"
"33","12","95.00"
"33","13","96.25"
"33","14","97.50"
"33","15","98.75"
"33","16","100.00"
"33","17","101.50"
"33","18","103.00"
"33","19","104.50"
"33","20","106.00"
"33","21","107.50"
"33","22","109.00"
"33","23","110.50"
"33","24","112.00"
"33","25","114.00"
"33","26","116.00"
"33","27","118.00"
"33","28","120.00"
"33","29","127.50"
"33","30","135.00"
"33","31","142.50"
"33","32","150.00"
"33","33","999.99"
"34","-4","28.20"
"34","-3","28.27"
"34","-2","28.35"
"34","-1","28.42"
"34","0","28.50"
"34","1","28.62"
"34","2","28.75"
"34","3","28.87"
"34","4","29.00"
"34","5","29.25"
"34","6","29.50"
"34","7","29.75"
"34","8","30.00"
"34","9","30.25"
"34","10","30.50"
"34","11","30.75"
"34","12","31.00"
"34","13","31.25"
"34","14","31.50"
"34","15","31.75"
"34","16","32.00"
"34","17","32.50"
"34","18","33.00"
"34","19","33.50"
"34","20","34.00"
"34","21","34.50"
"34","22","35.00"
"34","23","35.50"
"34","24","36.00"
"34","25","36.75"
"34","26","37.50"
"34","27","38.25"
"34","28","39.00"
"34","29","41.50"
"34","30","44.00"
"34","31","46.50"
"34","32","49.00"
"34","33","999.99"
"35","-4","84.40"
"35","-3","84.50"
"35","-2","84.60"
"35","-1","84.70"
"35","0","84.80"
"35","1","84.97"
"35","2","85.15"
"35","3","85.32"
"35","4","85.50"
"35","5","85.75"
"35","6","86.00"
"35","7","86.25"
"35","8","86.50"
"35","9","87.12"
"35","10","87.75"
"35","11","88.37"
"35","12","89.00"
"35","13","91.25"
"35","14","93.50"
"35","15","95.75"
"35","16","98.00"
"35","17","100.25"
"35","18","102.50"
"35","19","104.75"
"35","20","107.00"
"35","21","109.50"
"35","22","112.00"
"35","23","114.50"
"35","24","117.00"
"35","25","119.00"
"35","26","121.00"
"35","27","123.00"
"35","28","125.00"
"35","29","130.00"
"35","30","135.00"
"35","31","140.00"
"35","32","145.00"
"35","33","999.99"
"36","-4","27.04"
"36","-3","27.08"
"36","-2","27.12"
"36","-1","27.16"
"36","0","27.20"
"36","1","27.25"
"36","2","27.30"
"36","3","27.35"
"36","4","27.40"
"36","5","27.47"
"36","6","27.55"
"36","7","27.62"
"36","8","27.70"
"36","9","27.90"
"36","10","28.10"
"36","11","28.30"
"36","12","28.50"
"36","13","29.12"
"36","14","29.75"
"36","15","30.37"
"36","16","31.00"
"36","17","32.00"
"36","18","33.00"
"36","19","34.00"
"36","20","35.00"
"36","21","35.75"
"36","22","36.50"
"36","23","37.25"
"36","24","38.00"
"36","25","38.75"
"36","26","39.50"
"36","27","40.25"
"36","28","41.00"
"36","29","42.50"
"36","30","44.00"
"36","31","45.50"
"36","32","47.00"
"36","33","999.99"
